Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000215/,,- Venue: Home of J.K. Wells
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000216/,,- Venue: Home of J.K. Wells
La risa,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000549/,,- Venue: Home of J.K. Wells
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000649/,,- Venue: Home of J.K. Wells
El borracho celebra la Semana Santa,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000550/,,- Venue: Home of J.K. Wells
Corrido del Gral. Diaz,,Mexico,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-10-25/ed-1/seq-34/ocr/,"October 25, 1936",https://docs.google.com/document/d/1Xqow0C7heg2Ob6OEliYa0JF6evmc2MJ9KPXM1qpeRUA/edit,,Published in La Opinión
El Fin del Mundo,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-10-25/ed-1/seq-34/ocr/,"October 25, 1936",https://docs.google.com/document/d/1Gq0tRndsh7t0ZCNif926Du7bzuZUCxJYLBqCPSyXP_8/edit,,Published in La Opinión
El Repatriado,,"Sonora, Mexico; Chihuahua, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-08-11/ed-1/seq-30/ocr/,"August 11, 1935",https://docs.google.com/document/d/1WG5ZRSaK4vgkgGk4OoYjH5D1PdEJjLXCi3fmjvr1Zgk/edit,,Published in La Opinión
El Fronterizo,,"Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-08-11/ed-1/seq-30/ocr/,"August 11, 1935",https://docs.google.com/document/d/1YiOpI8m-66xwVKzBA0e1UfPvixHDD_mQj0poNNUHFho/edit,,Published in La Opinión
El Presidiario,,"San Juan de Ulua, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-06-30/ed-1/seq-31/ocr/,"June 30, 1935",https://docs.google.com/document/d/1ZHZYfxxi5W-jRvjo3NrouMMfrJgj95D5Nn2hRNPxG_E/edit,,Published in La Opinión
Corrido del Descarrilamiento,,"Puebla, Mexico; Apizaco, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-12-20/ed-1/seq-34/ocr/,"December 20, 1936",https://docs.google.com/document/d/1bwQ1VGbAAPk7jS9BefIYfhNaY5vFdVDFxvCySrn8F2w/edit,,Published in La Opinión
Los Repatriados,,California,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-11-01/ed-1/seq-34/ocr/,"November 1, 1936",https://docs.google.com/document/d/1YXhVcwcTixqzgt_TSmwaLKeDoE8mD79PsI3pVZF9Tqw/edit,,Published in La Opinión
El Corrido del Agua Caliente,,"San Diego, California",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-09-01/ed-1/seq-34/#date1=1777&index=5&date2=1963&searchType=advanced&language=&sequence=0&lccn=sn81004351&words=CANCION+Corrido+DE+la+PAGINA&proxdistance=5&rows=20&ortext=corrido&proxtext=&phrasetext=pagina+de+la+cancion&andtext=&dateFilterType=yearRange&page=1,"September 1, 1935",https://docs.google.com/document/d/1ZsNL_-iohCr8vAXLiplKFoHfE0LwpqcMWqW1RyN2YAY/edit,,Published in La Opinión
