Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
Corrido del Enamorado,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1PERqVrx6Rla4LMcGxgJBBUqOQ8pDF5lo70KW8SZTAEM/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de los Parranderos,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1x4wUSO9H-Oxxktg2up-I4E3jizAnyt3GLzU1SVZ5cgU/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido del Negro de Oro,,"Oaxaca, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1qaQF674FcOeD1H9SYNuehaBPVWuF6LhC1Y4y0KaoOGY/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Oaxaca de Juarez,,"Oaxaca, Mexico; Temple of Santo Domingo, Oaxaca, Mexico; Netzahualcóyolt, Oaxaca, Mexico; Plaza del Mercado, Oaxaca, Mexico; Benito Juarez monument, Oaxaca, Mexico; playa de Santa Maria, Oaxaca, Mexico; La Soledad, Oaxaca, Mexico; Santa Maria del Marquesado, Oaxaca, Mexico ",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/10_j44vz7FIu42Tr7snN7-ECPPGt-V6OOPT-RvfGgUdw/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de los Rurales,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1d9y3_6l3UP7FGUaVrfFSgfzeEOGNbbleUzBQi43wStI/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Don Esteban Bravo,,"Irapuato, Mexico; Curadero, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1XIESDyKuxQhtzp-NxvNasQqKezAmScbLozgr1nfh1G4/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido del Congreso Constituyente de Queretaro,,"Queretaro, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1T3NM2fmzD9_YNTIUHJ-ZeMn-QsIuE8OgjFt8JN8ml20/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Bola del Veinte de Julio,,"Cacalutla, Guerrera, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1M-x5vQl56vGKgRLamTFUMUD86_yY0cUACVyIHGFH1tk/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Cuca Mendoza,,"San Antonio, Mexico; Moroleón, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1uPA1xSjEwt7U7xeV_YPwdwESRgSjtZyomRtOSS5Irto/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Soy de Rancho,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1IgmrHWuBOtuW3TuOX7rB9x5K3IVt8w9bCEJvxFMmUuk/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Valente Torres,,"San Juan del Rio, Mexico; Villa de Rosales, Mexico; Puebla, Mexico","Salitrillo, Guanajato, Mexico",Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1IUm-pkkdjY7CFc1W3vHUqlvWr5z8qawrKerCrdEKKJM/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Juan R. Escudero,,"Acapulco, Mexico; San Luis, Mexico; Cacalutla, Mexico; Aguacatillo, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1-eI-JZ5XEDUP-i6DPj9I6ANgM7byj-sH_dOsKm3Y8v4/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Severo Isidor,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1Pq4F0XgCslLKNedMF2TnUe_0zTz6YNY5bLLhzAEHgaM/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Bola,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1N4MKm139wnoz5Xhpa4yJpzKFiAqMKOAdUhpPWH1NDVM/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido del Estado de Morelos,,"Morelos, Mexico; Zacualpa, Mexico; Atenco, Mexico; Durango, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1zjGA9LUq3f8BpZ6sWbnPS8IxeloFRMmUxL5dI8i_CQQ/edit?usp=sharing,,
Corrido del Rio Balsas,,"Rio Balsas, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1Ci-oCQ3l3Cg4xumlHKBijiooNqncGyvzlOtv2EsWmDs/edit?usp=sharing,,
Corrido Popular,,"Guerrero, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1QdznHyQL7K52_1pzcvpLvNaeDGlsF67EmxAy3PBbz68/edit?usp=sharing,,
Corrido de los Tempos Pasados,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1OVBFCUnbP54b9H5wontytC4EgVRc9wKetNjv7ylvA84/edit?usp=sharing,,
Corrido de la Gata,,"Zocalo, Mexico City, Mexico; Amacueca, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1jKpEvcgykoEeBFisXuKuaGnmFMKurUiCd_2r6noo3O0/edit?usp=sharing,,
Corrido Vacilador,,"León, Mexico; Borlote, Mexico; Parian, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1QWFIJeR4DdBFJuETWr6OAyZZiPDBf0wOEGuBHvQCC00/edit?usp=sharing,,
Corrido de la Luz Electrica,,"Zocalo, Mexico City, Mexico; Plaza de Santo Domingo, Mexico City, Mexico; Alameda, Mexico City, Mexico; Plateros, Mexico; Plaza de San Juan, Mexico City, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/16afiCnyqeLtZdEQjqFmzWI7-IMctp3T875PO-BMqAVk/edit?usp=sharing,,
Corrido de los Arcos Triunfales en Mexico,,"Plateros, Mexico City, Mexico; Tabasco, Mexico; Calle Mercaderes, Mexico City, Mexico; Yucatán, Mexico; Puebla, Mexico; Oaxaca, Mexico; Morelos, Mexico; Arriba, Mexico; Mitla, Oaxaca, Mexico; Ferrocarril del Valle, Mexico City, Mexico; monte Popocatepetl, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1G8CQjzGH3izzt-EnkSfhixEc0wGFcVII3e13KVzxMl0/edit?usp=sharing,,
Corrido de la China,,"Plaza de San Juan, Mexico City, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1jspthU9p9YeKjVATXxvlDGlt-fB1pCgug9bF5jO4TMI/edit?usp=sharing,,
Corrido de los Trenes Electricos,,"Mexico City, Mexico; Chapultatec, Mexico City, Mexico",,Mexico,ca. 1900,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/14xg8jH9KTG42BuCbVvpfODysTWGE48Om-MKJ6fqX7ic/edit?usp=sharing,,
Corrido de los Casados,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1QKgyc7KSvd5M9xQk0jWrNj3fTzlFz49_FplcIyvr0CU/edit?usp=sharing,,
Corrido de las Pesetas,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1oEs3sq8KtIbCg8WNv8rajLayZFh03BqNgI3WRteeqGQ/edit?usp=sharing,,
Corrido de la Despedida de los Tlacos,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1BBuuV8cz7GGNGXmGq-mUGQ-1QX0gQ_5dhmM8MXA770E/edit?usp=sharing,,
A los Animales,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1pXraW5F1cgqK0Bbz2I5G-gh0RJXRYmCKN96fcufqsC0/edit?usp=sharing,,
Corrido de la Batalla de Ocotlan (Parodia de la Casita),,"Ocotlán, Mexico; Panzacola, Mexico; Puebla, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1sPZCjGvpkq0dnNRaSIwJM8RyGF-0-movNpVQE5FtaXY/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Macario Romero,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1FQ8-Rq6eNJVc_iylCtsD-T0YWE34m25l_4-QWPaZwB0/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
